match,team1,team2,team1_xg,team2_xg,score,xg_score,date,attendance,venue,referee,team1_captain,team2_captain,team1_manager,team2_manager,team1_possession,team2_possession,team1_completed_passes,team1_attempted_pases,team2_completed_passes,team2_attempted_pases,team1_shots_on_target,team2_shots_on_target,team1_total_shots,team2_total_shots,team1_saves,team2_saves,team1_fouls,team2_fouls,team1_corners,team2_corners,team1_crosses,team2_crosses,team1_tackles,team2_tackles,team1_interceptions,team2_interceptions,team1_aerials_won,team2_aerials_won,team1_clearances,team2_clearances,team1_offsides,team2_offsides,penalties scored team1,penalties scored team2,free kicks team1,free kicks team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2
1,Qatar,Ecuador,0.3,1.2,0-2,0.3 - 1.2,20-Nov-22,67372,Al Bayt Stadium,Daniele Orsato,Hassan Al-Haydos,Enner Valencia,FÃ©lix SÃ¡nchez,Gustavo Alfaro,47,53,377,469,430,522,0,2,5,5,1,0,15,15,1,3,8,14,10,14,2,12,14,13,18,7,3,4,0,1,19,17,4,2,0,0
2,England,IR Iran,2.1,1.4,6-2,2.1 - 1.4,21-Nov-22,45334,Khalifa International Stadium,Raphael Claus,Harry Kane,Ehsan Hajsafi,Gareth Southgate,Carlos Queiroz,77,23,740,838,162,248,7,2,13,7,1,1,9,14,8,0,21,8,13,12,7,16,10,10,4,23,2,2,0,1,16,10,0,2,0,0
3,Senegal,Netherlands,0.9,0.7,0-2,0.9 - 0.7,21-Nov-22,41721,Al Thumama Stadium,Wilton Sampaio,Kalidou Koulibaly,Virgil van Dijk,Aliou CissÃ©,Louis van Gaal,46,54,333,427,387,494,4,3,15,10,1,4,13,13,6,7,19,25,14,10,10,6,22,20,32,16,2,1,0,0,14,14,2,1,0,0
4,United States,Wales,0.8,1.5,1-1,0.8 - 1.5,21-Nov-22,43418,Ahmed bin Ali Stadium,Abdulrahman Ibrahim Al Jassim,Tyler Adams,Gareth Bale,Gregg Berhalter,Rob Page,58,42,524,624,335,446,1,2,6,6,2,0,15,10,5,3,30,14,14,18,6,8,14,12,18,31,1,1,0,1,11,15,4,2,0,0
5,Argentina,Saudi Arabia,2.2,0.1,1-2,2.2 - 0.1,22-Nov-22,88012,Lusail Iconic Stadium,Slavko VinÄiÄ,Lionel Messi,Salman Al-Faraj,Lionel Scaloni,HervÃ© Renard,69,31,546,659,195,294,5,2,14,3,0,5,7,21,9,2,23,10,17,18,9,14,16,7,11,26,10,1,1,0,22,16,0,6,0,0
6,Denmark,Tunisia,1.4,0.9,0-0,1.4 - 0.9,22-Nov-22,42925,Education City Stadium,CÃ©sar Arturo Ramos,Simon Kjaer,Youssef Msakni,Kasper Hjulmand,Jalel Kadri,61,39,533,649,308,419,5,1,11,13,1,5,9,10,11,9,25,13,12,24,11,8,20,13,12,38,1,1,0,0,11,10,2,1,0,0
7,Mexico,Poland,0.7,0.9,0-0,0.7 - 0.9,22-Nov-22,39369,Stadium 974,Chris Beath,Guillermo Ochoa,Robert Lewandowski,Tata Martino,CzesÅ‚aw Michniewicz,60,40,436,547,255,363,4,1,11,5,1,4,14,15,6,5,33,15,16,17,5,8,16,18,19,29,3,0,0,0,16,16,2,1,0,0
8,France,Australia,4,0.5,4-1,4 - 0.5,22-Nov-22,40875,Al Janoub Stadium,Victor Gomes,Hugo Lloris,Mathew Ryan,Didier Deschamps,Graham Arnold,62,38,678,768,391,473,6,1,23,4,0,2,5,11,8,1,27,6,20,13,12,9,16,8,6,23,0,0,0,0,11,5,0,3,0,0
9,Morocco,Croatia,0.4,0.5,0-0,0.4 - 0.5,23-Nov-22,59407,Al Bayt Stadium,Fernando Rapallini,Romain Saiss,Luka Modric,Hoalid Regragui,Zlatko DaliÄ‡,36,64,298,384,581,693,2,1,8,5,1,2,16,11,0,5,8,18,21,17,13,10,14,12,21,11,0,1,0,0,12,17,1,0,0,0
10,Germany,Japan,3.1,1.5,1-2,3.1 - 1.5,23-Nov-22,42608,Khalifa International Stadium,IvÃ¡n Barton,Manuel Neuer,Maya Yoshida,Hansi Flick,Hajime Moriyasu,74,26,727,836,204,298,8,4,25,12,2,8,6,14,6,6,25,11,11,29,3,6,21,12,4,38,4,4,1,0,17,10,0,0,0,0
